title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
Downfall,2004,R,2h 36m,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography,Drama,History","€13,500,000 (estimated)","$5,509,040","$92,181,574"
Batman Begins,2005,PG-13,2h 20m,8.2,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the ci...","Action,Crime,Drama","$150,000,000 (estimated)","$206,863,479","$375,325,692"
Dangal,2016,Not Rated,2h 41m,8.3,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action,Biography,Drama","₹700,000,000 (estimated)","$12,391,761","$303,723,636"
Taxi Driver,1976,R,1h 54m,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Crime,Drama","$1,300,000 (estimated)","$28,262,574","$28,579,636"
1917,2019,R,1h 59m,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from wa...","Action,Drama,History","$95,000,000 (estimated)","$159,227,644","$384,580,017"
L.A. Confidential,1997,R,2h 18m,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","Crime,Drama,Mystery","$35,000,000 (estimated)","$64,616,940","$126,216,940"
Hamilton,2020,PG-13,2h 40m,8.3,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the origi...","Biography,Drama,History",,,
Like Stars on Earth,2007,PG,2h 42m,8.3,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family","$1,223,869","$352,568","$21,897,373"
Metropolis,1927,Not Rated,2h 33m,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a...","Drama,Sci-Fi","DEM 6,000,000 (estimated)","$1,236,166","$1,349,711"
Snatch,2000,R,1h 42m,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy,Crime","£6,000,000 (estimated)","$30,328,156","$83,557,872"
Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8.2,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Action,Adventure","$48,000,000 (estimated)","$197,171,806","$474,171,806"
A Separation,2011,PG-13,2h 3m,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzhei...,Drama,"$500,000 (estimated)","$7,099,055","$22,926,076"
Die Hard,1988,R,2h 12m,8.2,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action,Thriller","$28,000,000 (estimated)","$85,892,546","$143,651,650"
The Sting,1973,PG,2h 9m,8.3,Two grifters team up to pull off the ultimate con.,"Comedy,Crime,Drama","$5,500,000 (estimated)","$156,000,000","$156,000,000"
Bicycle Thieves,1948,Not Rated,1h 29m,8.3,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,"$133,000 (estimated)","$371,111","$450,159"
