title,release_year,parental_rating,movie_duration,movie_rating,description,genres,budget,gross_na,gross_worldwide
La haine,1995,Not Rated,1h 38m,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime,Drama","€2,590,000 (estimated)","$280,859","$414,607"
The Passion of Joan of Arc,1928,Passed,1h 54m,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography,Drama,History","$21,877","$6,408","$22,731"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action,Adventure,Fantasy","$140,000,000 (estimated)","$305,413,918","$654,264,546"
The Exorcist,1973,R,2h 2m,8.1,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",Horror,"$11,000,000 (estimated)","$233,005,644","$441,306,145"
The Best Years of Our Lives,1946,Approved,2h 50m,8.1,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama,Romance,War","$2,100,000 (estimated)","$23,650,000","$23,661,347"
Before Sunset,2004,R,1h 20m,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama,Romance","$2,700,000 (estimated)","$5,820,649","$15,854,926"
Platoon,1986,R,2h,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th...","Drama,War","$6,000,000 (estimated)","$138,530,565","$138,545,632"
The Terminator,1984,R,1h 47m,8.1,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so...","Action,Adventure,Sci-Fi","$6,400,000 (estimated)","$38,371,200","$78,371,200"
Spotlight,2015,R,2h 9m,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography,Crime,Drama","$20,000,000 (estimated)","$45,055,776","$98,690,254"
Logan,2017,R,2h 17m,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s...","Action,Drama,Sci-Fi","$97,000,000 (estimated)","$226,277,068","$619,180,476"
